NCT_ID;Asset_Name;Antibody_Format;Antibody_Name;Target_Antigen;Radioisotope;Chelator;Linker_Technology;Category;Asset_Owner;Is_RIT;Asset_Name_Conf;Antibody_Format_Conf;Antibody_Name_Conf;Target_Antigen_Conf;Radioisotope_Conf;Chelator_Conf;Linker_Technology_Conf;Category_Conf;Asset_Owner_Conf;Notes;Extraction_Method;Sources;Phase;Lead_Sponsor;Sponsor_Class;Status;Start_Date;First_Posted;Enrollment;Countries;Conditions;EudraCT_Number;CTIS_Number;Secondary_IDs;Source_Registry;Registry_URL;Target_Antigen_Norm;Antibody_Name_Norm;Radioisotope_Norm;Chelator_Norm;Antibody_Format_Norm;Asset_Owner_Norm;Linker_Technology_Norm;Phase_Norm;Sponsor_Type;Start_Year;Target_Family;Format_Family;Isotope_Family;Chelator_Family
NCT00491491;90Y-ibritumomab tiuxetan (Zevalin);Full-length IgG;ibritumomab;CD20;Y-90;tiuxetan (MX-DTPA);Direct conjugation;Therapeutic;Biogen Idec / Spectrum Pharmaceuticals;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;Zevalin used as conditioning before BEAM + ASCT for relapsed DLBCL. Standard Y-90 Zevalin protocol.;llm_extracted;;PHASE3;Sheba Medical Center;OTHER_GOV;COMPLETED;2007-06;2007-06-26;60.0;Germany, Israel, Netherlands, United States;Non-Hodgkin's Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00491491;CD20;ibritumomab;Y-90;MX-DTPA (tiuxetan);Full-length IgG;Biogen Idec / Spectrum Pharmaceuticals;Direct conjugation;Phase 3;Government;2007.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Acyclic chelator
NCT03118349;MVT-1075 (177Lu-5B1);Full-length IgG;5B1;CA19-9;Lu-177;CHX-A''-DTPA;Site-specific conjugation;Therapeutic;BioNTech R&D (formerly MabVax);Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;;;HIGH;MEDIUM;MVT-5873 is the unlabeled blocking dose of the same 5B1 antibody administered before MVT-1075. BioNTech acquired MabVax assets. | WEB ENRICHMENT: PMID:40782054 explicitly describes the synthesis of [177Lu]Lu-DTPA-PODSAJICAP-5B1 using CHX-A''-DTPA chelator conjugated to the 5B1 antibody targeting CA19-9. The paper describes an Fc-directed peptide approach to append free sulfhydryl moieties to unique sites within the Fc domain, which were then modified with phenyloxadiazolyl methylsulfone-bearing variants of CHX-A''-DTPA, confirming site-specific conjugation technology. This directly matches the trial asset MVT-1075 (177Lu-5B1) targeting CA19-9.;llm_extracted;PMID:40782054|PMID:39539260|PMID:38940841|PMID:38712285;PHASE1;BioNTech Research & Development, Inc.;INDUSTRY;TERMINATED;2017-06-01;2017-04-18;4.0;United States;Pancreatic Carcinoma, Tumors That Express CA 19-9;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03118349;CA19-9;5B1;Lu-177;CHX-A''-DTPA;Full-length IgG;BioNTech;Site-specific conjugation;Phase 1;Industry;2017.0;Carbohydrate / glycolipid antigen;Full-length IgG;Beta emitter;Acyclic chelator
NCT00022932;Iodine-131 Anti-B1 Antibody (Bexxar);Full-length IgG;tositumomab;CD20;I-131;Direct radioiodination (Iodogen);Direct radioiodination;Therapeutic;Corixa Corporation / GlaxoSmithKline;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;HIGH;Bexxar consolidation post-CHOP in DLBCL. GSK later acquired Bexxar.;llm_extracted;;PHASE2;Corixa Corporation;INDUSTRY;UNKNOWN;2000-01;2001-08-20;;United States;Non-Hodgkin's Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00022932;CD20;tositumomab;I-131;Direct radioiodination;Full-length IgG;Corixa Corporation / GlaxoSmithKline;Direct radioiodination;Phase 2;Industry;2000.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT06947694;;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. Radioimmunotherapy in title = external beam RT + PD-1 checkpoint inhibitors for NSCLC. No radiolabeled antibody.;llm_extracted;;PHASE2;Xinqiao Hospital of Chongqing;OTHER;RECRUITING;2025-07-02;2025-04-27;427.0;China;NSCLC Stage IV Without EGFR/ALK Mutation;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06947694;;;;;;;;Phase 2;Academic/Hospital;2025.0;;;;
NCT01536561;Tositumomab and Iodine I-131 Tositumomab (Bexxar);Full-length IgG;tositumomab (anti-B1);CD20;I-131;Direct radioiodination (Iodogen);Direct radioiodination (Iodogen);Therapeutic;GlaxoSmithKline;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;Original Phase I study BEX104728 + long-term follow-up BEX104526. IgG2a murine mAb. GSK later withdrew Bexxar from market.;llm_extracted;;PHASE1;GlaxoSmithKline;INDUSTRY;COMPLETED;1990-04-24;2012-02-22;59.0;;Lymphoma, Non-Hodgkin;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01536561;CD20;tositumomab (anti-B1);I-131;Direct radioiodination;Full-length IgG;GlaxoSmithKline;Direct radioiodination;Phase 1;Industry;1990.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT06551909;;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. PNRR project Aim 2 = neoadjuvant stereotactic RT for glioblastoma + temozolomide. Radioimmunotherapy in project title is loose usage (RT + immune stimulation). No radiolabeled antibody.;llm_extracted;;;IRCCS San Raffaele;OTHER;RECRUITING;2024-08-31;2024-08-13;30.0;Italy;Glioblastoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06551909;;;;;;;;;Academic/Hospital;2024.0;;;;
NCT01796171;Betalutin (177Lu-lilotomab satetraxetan);Full-length IgG;lilotomab;CD37;Lu-177;satetraxetan (DOTAMTB);Direct conjugation;Therapeutic;Nordic Nanovector;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;Pre-dosing with unlabeled lilotomab to optimize biodistribution. Satetraxetan is a macrocyclic chelator. Phase 1/2 program later discontinued.;llm_extracted;;PHASE1, PHASE2;Nordic Nanovector;INDUSTRY;COMPLETED;2012-12;2013-02-21;191.0;Australia, Austria, Belgium, Canada, Croatia, Czechia, Denmark, Finland, France, Hungary, Ireland, Israel, Italy, Netherlands, Norway, Poland, Singapore, South Korea, Spain, Sweden, Switzerland, Turkey (Türkiye), United Kingdom, United States;Non-Hodgkin Lymphoma, Follicular Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01796171;CD37;lilotomab;Lu-177;satetraxetan;Full-length IgG;Nordic Nanovector;Direct conjugation;Phase 1/2;Industry;2012.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Macrocyclic chelator
NCT03275402;131I-omburtamab;Full-length IgG;omburtamab;B7-H3 (CD276);I-131;Direct radioiodination;Direct radioiodination;Therapeutic;Y-mAbs Therapeutics;Yes;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;MEDIUM;HIGH;HIGH;Intracerebroventricular (ICV) administration for neuroblastoma CNS/leptomeningeal mets. Pediatric indication. B7-H3 target inferred from known omburtamab profile.;llm_extracted;;PHASE2, PHASE3;Y-mAbs Therapeutics;INDUSTRY;TERMINATED;2018-12-11;2017-09-07;52.0;Denmark, Japan, Spain, United States;Neuroblastoma, CNS Metastases, Leptomeningeal Metastases;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03275402;B7-H3;omburtamab (8H9);I-131;Direct radioiodination;Full-length IgG;Y-mAbs Therapeutics;Direct radioiodination;Phase 2/3;Industry;2018.0;Immune checkpoint;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT01130194;90Y-ibritumomab tiuxetan (Zevalin);Full-length IgG;ibritumomab;CD20;Y-90;tiuxetan (MX-DTPA);Direct conjugation;Therapeutic;Biogen Idec / Spectrum Pharmaceuticals;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;Sequential C-MOPP-R → Zevalin → ASCT with BEAM conditioning for first-line follicular lymphoma.;llm_extracted;;PHASE2;St. Louis University;OTHER;COMPLETED;2006-07;2010-05-25;29.0;United States;Follicular Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01130194;CD20;ibritumomab;Y-90;MX-DTPA (tiuxetan);Full-length IgG;Biogen Idec / Spectrum Pharmaceuticals;Direct conjugation;Phase 2;Academic/Hospital;2006.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Acyclic chelator
NCT03467360;;;;;;;;;Centre Antoine Lacassagne;No;;;;;;;;;HIGH;One arm uses radioimmunotherapy for extensive SCLC but specific RIT agent not identified. Could be external beam RT + checkpoint inhibitor or a true RIT agent. Needs web verification (Step 2.2). | WEB ENRICHMENT: FALSE POSITIVE. 'Radioimmunotherapy' in title = external beam radiation + immunotherapy for extensive SCLC, NOT radiolabeled antibody. Interventions are acetazolamide + platinum/etoposide-based chemoradiation. No radiolabeled antibody mentioned.;llm_extracted;;PHASE1;Centre Antoine Lacassagne;OTHER;RECRUITING;2019-08-02;2018-03-16;27.0;France, Monaco;Small Cell Lung Cancer;2017-002160-40;2022-503093-36-00;CTIS:2022-503093-36-00 | EUDRACT_NUMBER:2017-002160-40;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03467360;;;;;;Centre Antoine Lacassagne;;Phase 1;Academic/Hospital;2019.0;;;;
